method,stress_name,stress_value,num_queries,num_errors,accuracy,collapse_rate,forgetting_rate,stale_dominance_rate,residual_rate,forgetting_share_of_errors,stale_dominance_share_of_errors,residual_share_of_errors,mean_confidence
latest_write,overall,-1.0,540,208,0.6148148148148148,0.3851851851851852,0.3851851851851852,0.0,0.0,1.0,0.0,0.0,1.0
latest_write,s0,0.0,90,20,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,1.0
latest_write,s1,0.2,90,31,0.6555555555555556,0.34444444444444444,0.34444444444444444,0.0,0.0,1.0,0.0,0.0,1.0
latest_write,s2,0.4,90,31,0.6555555555555556,0.34444444444444444,0.34444444444444444,0.0,0.0,1.0,0.0,0.0,1.0
latest_write,s3,0.6,90,31,0.6555555555555556,0.34444444444444444,0.34444444444444444,0.0,0.0,1.0,0.0,0.0,1.0
latest_write,s4,0.8,90,45,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0
latest_write,s5,1.0,90,50,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.0,0.0,1.0,0.0,0.0,1.0
majority_vote,overall,-1.0,540,186,0.6555555555555556,0.34444444444444444,0.17592592592592593,0.08333333333333333,0.08518518518518518,0.510752688172043,0.24193548387096775,0.24731182795698925,0.785222536220761
majority_vote,s0,0.0,90,27,0.7,0.3,0.2,0.07777777777777778,0.022222222222222223,0.6666666666666666,0.25925925925925924,0.07407407407407407,0.911989980446411
majority_vote,s1,0.2,90,27,0.7,0.3,0.15555555555555556,0.044444444444444446,0.1,0.5185185185185185,0.14814814814814814,0.3333333333333333,0.8733180267471796
majority_vote,s2,0.4,90,30,0.6666666666666666,0.3333333333333333,0.2111111111111111,0.07777777777777778,0.044444444444444446,0.6333333333333333,0.23333333333333334,0.13333333333333333,0.822454170556902
majority_vote,s3,0.6,90,28,0.6888888888888889,0.3111111111111111,0.1111111111111111,0.06666666666666667,0.13333333333333333,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.7539813946785009
majority_vote,s4,0.8,90,37,0.5888888888888889,0.4111111111111111,0.18888888888888888,0.12222222222222222,0.1,0.4594594594594595,0.2972972972972973,0.24324324324324326,0.6888976765552345
