benchmark,retrieval_variant,method,num_queries,relaxed_accuracy,exact_match,unknown_rate,empty_gold_count,nonempty_num_queries,nonempty_relaxed_accuracy,nonempty_exact_match,json_object_rate,raw_unknown_rate,prompt_versions
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,1986,0.13595166163141995,0.07452165156092648,0.13343403826787512,444,1542,0.17509727626459143,0.0959792477302205,0.9859013091641491,0.13343403826787512,reader_json_evidence_v3_temporal_nonabstain
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,1986,0.12537764350453173,0.07250755287009064,0.5045317220543807,444,1542,0.1614785992217899,0.0933852140077821,0.999496475327291,0.5045317220543807,reader_json_evidence_v3_temporal_nonabstain
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,1986,0.11530715005035247,0.06646525679758308,0.4405840886203424,444,1542,0.14850843060959792,0.08560311284046693,0.9979859013091642,0.4405840886203424,reader_json_evidence_v3_temporal_nonabstain
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,500,0.138,0.096,0.228,0,500,0.138,0.096,0.988,0.228,reader_json_evidence_v3_temporal_nonabstain
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,500,0.126,0.088,0.498,0,500,0.126,0.088,0.996,0.498,reader_json_evidence_v3_temporal_nonabstain
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,500,0.126,0.084,0.528,0,500,0.126,0.084,0.99,0.528,reader_json_evidence_v3_temporal_nonabstain
