benchmark,retrieval_variant,method,num_queries,relaxed_accuracy,exact_match,unknown_rate,empty_gold_count,nonempty_num_queries,nonempty_relaxed_accuracy,nonempty_exact_match,json_object_rate,raw_unknown_rate,prompt_versions
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,1986,0.18529707955689828,0.10372608257804633,0.0931520644511581,444,1542,0.23865110246433205,0.13359273670557717,0.9828801611278952,0.11832829808660625,reader_json_evidence_v3_temporal_nonabstain
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,1986,0.15760322255790535,0.09768378650553877,0.3902316213494461,444,1542,0.20298313878080415,0.125810635538262,0.9969788519637462,0.4511581067472306,reader_json_evidence_v3_temporal_nonabstain
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,500,0.146,0.102,0.198,0,500,0.146,0.102,0.992,0.198,reader_json_evidence_v3_temporal_nonabstain
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,500,0.128,0.084,0.532,0,500,0.128,0.084,0.992,0.532,reader_json_evidence_v3_temporal_nonabstain
