benchmark,retrieval_variant,method,num_queries,relaxed_accuracy,exact_match,unknown_rate,empty_gold_count,nonempty_num_queries,nonempty_relaxed_accuracy,nonempty_exact_match,json_object_rate,raw_unknown_rate,prompt_versions
locomo,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,1986,0.1691842900302115,0.1027190332326284,0.4551863041289023,444,1542,0.2178988326848249,0.13229571984435798,0.999496475327291,0.5191339375629406,reader_json_evidence_v3_temporal_nonabstain
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_14b_instruct,500,0.124,0.086,0.51,0,500,0.124,0.086,0.992,0.51,reader_json_evidence_v3_temporal_nonabstain
